ingredient_form_group_id,ingredient_codes,official_dosage_form,research_classifications,official_product_count,retail_sku_count,official_product_keys
HKG-3ce0380c78ff680ddaa3,I001885;I006024;I006065;I006076;I006174;I006176;I006202;I006250;I006276;I006344;I006398;I006469;I006474;I006480;I006546;I006550;I006585;I006617,환제,cold_respiratory,2,2,health.kr:A11A1500B0070;health.kr:A11AKP07L0377
HKG-3d38e486aa032b1ac1b2,I002817,현탁액,analgesic_antiinflammatory,3,3,health.kr:2012091000002;health.kr:2017060100008;health.kr:2021050400003
HKG-40df841dce59fde4bd1f,I000485;I001696;I001699;I001885;I004272;I006065;I006080;I006111;I006158;I006202;I006276;I006344;I006429;I006447;I006474;I006542;I006550;I006994;I008178;I008221;I008286;I008304;I008410;I009898;I012275,현탁액,other_otc,1,2,health.kr:A11A2262A0568
HKG-4141f1d1b23e3f7c2dbb,I006337,겔제,other_otc,2,2,health.kr:2013080100067;health.kr:u45tc5rba9sfg
HKG-42ecc6c6592b4f9bf830,I001515,정제,anthelmintic,1,1,health.kr:A11A0120A0490
HKG-430902c53ae66fe6689a,I000039,좌제,gastrointestinal,1,1,health.kr:A11A0760A0010
HKG-432c2bc3a42bc7f52fa6,I000032;I000041;I000259;I000622;I001069;I001587;I001985;I002541;I002717;I003409;I004351;I004465;I004642;I004928;I005297;I005733;I005885;I006376;I006525;I012316;I012318,정제,topical_or_local,1,1,health.kr:2023020300001
HKG-439b8452375235a91539,I000622;I003529;I005733,연질캡슐,gastrointestinal,1,1,health.kr:2025012100003
HKG-453525029eb8310c15fc,I000259;I000740;I001119;I004189;I006606;I007615,경질캡슐,topical_or_local,5,5,health.kr:2009111800002;health.kr:2010101100004;health.kr:2016101100003;health.kr:2017062000006;health.kr:A11AKP08G2962
HKG-469400df42f4e2e3237d,I001645,겔제,topical_or_local,1,1,health.kr:A11AHHHHH0025
HKG-46cf177c9f9c444c1327,I000032;I000259;I000622;I000703;I001069;I001587;I001985;I002541;I003412;I003529;I004351;I004465;I004642;I004928;I005733;I005885;I012318,정제,topical_or_local,1,1,health.kr:2022070700001
HKG-47ac1500d96fa4f674f1,I000259;I000703;I001587;I002541;I002717;I003412;I003529;I004642;I004928;I005713;I005733;I006606;I007287,정제,gastrointestinal,1,1,health.kr:2014011500012
HKG-47aeacfd2a4ea2648577,I000906;I002815,정제,gastrointestinal,1,1,health.kr:A11A2060A0084
HKG-47ea4687624edfaaaf62,I000860;I001784;I003385,시럽제,cold_respiratory,1,1,health.kr:2019052900002
HKG-487d5c438f8726b4b218,I001983;I003719;I004150,현탁액,gastrointestinal,1,1,health.kr:A11A0930A0424
HKG-4921cce3500e8e62e113,I000485;I001696;I001699;I001885;I002420;I003397;I004272;I006065;I006080;I006111;I006158;I006202;I006276;I006344;I006429;I006447;I006474;I006542;I006550;I008178;I008221;I008286;I008304;I008410;I009898;I012275,현탁액,other_otc,1,1,health.kr:A11A2260A0347
HKG-494999b67844dcc75b9c,I003526;I006065;I006366;I006447;I006480;I008194,환제,gastrointestinal,1,1,health.kr:A11AKP08G1247
HKG-4ae5c84d517d71474be2,I004678,액제,topical_or_local,2,3,health.kr:A11AKP08F1261;health.kr:A11APPPPP1032
HKG-4badbde754758c215f28,I000485;I000968;I001696;I001885;I006079;I006157;I006177;I006981,액제,gastrointestinal,1,1,health.kr:A11AKP08L0153
HKG-4c1e1a45838f5bd4dbb9,I002472,연질캡슐,analgesic_antiinflammatory,1,1,health.kr:4mmn5udgx7cjw
HKG-4c5bc485cc92e3fb6f32,I004865,현탁액,analgesic_antiinflammatory,2,2,health.kr:A11A0500A0154;health.kr:A11A1280A0202
HKG-4ce503e9cb6b54e1286b,I000032;I000249;I000259;I000622;I000703;I001069;I001587;I001985;I002011;I002541;I003412;I003529;I004351;I004465;I004524;I004642;I004645;I004928;I005733;I005885;I012318;I012319,정제,topical_or_local,1,1,health.kr:2013101100013
HKG-4f67a0e7be6466f7dbc8,I004272;I006347,연고,topical_or_local,1,1,health.kr:A11AKP08G3437
HKG-5064e54e315ee6f51d82,I000485;I001696;I001885;I006024;I006079;I006080;I006153;I006157;I006276;I006323;I006366;I006447,과립,gastrointestinal,1,1,health.kr:2021121400003
HKG-509c940558f8e4dec071,I000259;I000703;I001069;I001587;I002541;I002717;I003412;I003529;I006251,정제,topical_or_local,1,1,health.kr:2018012600003
HKG-50b53d6d7e14f8b7abef,I001885;I002909;I006236;I006351;I006474;I006547;I008174;I008188;I008304;I008318,엑스제,analgesic_antiinflammatory,1,1,health.kr:2023120400001
HKG-50f7f16ba73cf24fde3d,I001885;I002909;I004272;I006158;I006174;I006252;I006398;I006447;I006519;I006542;I006547,환제,topical_or_local,3,3,health.kr:0kyz5yr4dgsh0;health.kr:A11AOOOOO1910;health.kr:A11APPPPP2465
HKG-52b8c10f29d65da95386,I000032;I000259;I000622;I000703;I001069;I001587;I001642;I001985;I002541;I002717;I003412;I003529;I004351;I004465;I004642;I004928;I005733;I005885;I012318,정제,topical_or_local,1,1,health.kr:2020052100003
HKG-53b42414eb5eb6b42132,I000821;I001320,정제,other_otc,2,2,health.kr:2017080100007;health.kr:A11ABBBBB2499
HKG-5501284b66cfba099814,I009537,분무제,cold_respiratory,1,1,health.kr:A11AKP07K0065
HKG-563edafa9ac1a4ae021d,I001115,정제,other_otc,1,1,health.kr:A11A2350A0139
HKG-56a59b199df8c5902fc0,I000032;I000259;I000622;I001069;I001587;I001985;I002541;I002717;I003412;I003529;I004351;I004465;I004928;I005713;I005733;I005885;I006376;I012318,정제,topical_or_local,1,1,health.kr:2022072900003
HKG-56d49cd8baf1ec644731,I004140,액제,topical_or_local,1,1,health.kr:2024102300003
HKG-596cb1538af7c9e480fb,I000259;I000622;I000752;I001587;I001642;I001985;I002717;I003409;I003412;I003529;I003594;I004351;I005885;I006376;I006520;I006525;I012318,정제,topical_or_local,1,1,health.kr:2024011200006
HKG-59c175bdc6dd8777c9f7,I003791,가글액제,topical_or_local,1,1,health.kr:2024050900002
HKG-5a7c4da49d0c709164c1,I004558;I005942,분무제,topical_or_local,1,1,health.kr:2020051500019
HKG-5bd33d21a37fe640f7eb,I000860;I004220;I004615;I006391,시럽제,cold_respiratory,2,2,health.kr:2019012500051;health.kr:A11A0450A0177
HKG-5cee2ad8e1e2080bbf27,I002052,구강용해필름제,antihistamine,1,1,health.kr:2016062100023
HKG-5de47c04f8db95381804,I000485;I001696;I001885;I004272;I006050;I006080;I006157;I006158;I006177;I006185;I006226;I006276;I006398;I006447;I006585;I008283;I009898,환제,gastrointestinal,1,1,health.kr:A11AGGGGG7024
HKG-5e1df46b8f552e59fc51,I006020,정제,topical_or_local,1,1,health.kr:2013061000010
